"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"TTC30A",-19.0269565217384,747.60618556701,-0.181921722872323,0.855720409432318,1,-4.62877996710571,"TTC30A"
"CSF2RB",-43.1673913043467,1347.74226804124,-0.181852414699656,0.855774772186578,1,-4.62878081569486,"CSF2RB"
"PRND",-4.06956521739129,58.059793814433,-0.181799146525622,0.855816554228782,1,-4.62878146767516,"PRND"
"FANCI",52.1313043478308,1644.59587628866,0.181751705482889,0.855853765976096,1,-4.62878204817313,"FANCI"
"NFATC1",-20.6147826086949,880.672164948454,-0.181660536101899,0.855925278206625,1,-4.62878316331434,"NFATC1"
"SERPINE2",-739.180000000002,2517.39793814433,-0.1815869488561,0.855983000074868,1,-4.62878406299117,"SERPINE2"
"PGM2L1",-93.1808695652148,2358.05773195876,-0.181424488671041,0.856110436652239,1,-4.62878604793718,"PGM2L1"
"NDST2",2.43304347826087,126.412371134021,0.18133499546526,0.856180638277672,1,-4.62878714061054,"NDST2"
"RIPK4",51.1226086956526,1563.15257731959,0.181241229135085,0.856254193117106,1,-4.62878828487874,"RIPK4"
"SYNGAP1",-20.8199999999993,826.226804123711,-0.181239654086901,0.856255428671694,1,-4.62878830409462,"SYNGAP1"
"ADCK1",11.4530434782613,496.177319587629,0.181239088388514,0.856255872436767,1,-4.62878831099623,"ADCK1"
"ACAP1",-32.1178260869558,1027.54226804124,-0.181222601139455,0.856268805965988,1,-4.62878851213317,"ACAP1"
"SPINK6",-0.697391304347814,6.78144329896907,-0.181082402902288,0.856378786944631,1,-4.62879022174908,"SPINK6"
"SMCO2",-0.99173913043478,19.420618556701,-0.18097253981615,0.856464972934598,1,-4.62879156052542,"SMCO2"
"H2AFZ",215.098260869579,8207.90927835051,0.180891394846851,0.856528631082925,1,-4.62879254882517,"H2AFZ"
"IQCA1L",-0.19304347826087,0.903092783505155,-0.180872662136952,0.856543327008388,1,-4.62879277691605,"IQCA1L"
"RASGEF1A",-30.7539130434784,706.288659793814,-0.180627388148837,0.856735750553367,1,-4.62879576121116,"RASGEF1A"
"SERPINI1",-12.4508695652175,359.369072164948,-0.180547926694516,0.856798091873458,1,-4.62879672716552,"SERPINI1"
"USP18",-20.9926086956523,624.150515463917,-0.180480017613556,0.85685137051309,1,-4.62879755234936,"USP18"
"SIRT1",31.2734782608704,1507.61855670103,0.180366485275963,0.856940444722988,1,-4.62879893122216,"SIRT1"
"AZI2",18.9430434782603,1031.31340206186,0.180359272158193,0.856946103989692,1,-4.62879901879762,"AZI2"
"LSMEM2",-0.246086956521729,3.51340206185567,-0.18035314804709,0.856950908849523,1,-4.62879909314856,"LSMEM2"
"FAM83A",629.397391304354,8372.72577319588,0.180276611296847,0.857010958560738,1,-4.62880002214437,"FAM83A"
"YEATS2",-73.6373913043453,2605.32164948454,-0.180236448887845,0.857042469782164,1,-4.62880050947422,"YEATS2"
"ME2",-54.1304347826072,2315.34020618557,-0.180227311530769,0.857049638937876,1,-4.62880062033151,"ME2"
"NFS1",27.9908695652177,1349.33195876289,0.180207508917957,0.857065176076739,1,-4.62880086056391,"NFS1"
"RNF25",-18.7608695652159,1079.79381443299,-0.17991567583006,0.857294154887121,1,-4.62880439783187,"RNF25"
"TMEM271",-0.0947826086956521,0.129896907216495,-0.179877842308005,0.857323840802746,1,-4.62880485598699,"TMEM271"
"CAMSAP2",62.3804347826126,3090.43505154639,0.179813097306412,0.857374643168396,1,-4.62880563981044,"CAMSAP2"
"CYP26A1",-5.02260869565228,47.1237113402062,-0.179720014049495,0.857447682272111,1,-4.62880676621133,"CYP26A1"
"FARP1",-111.492608695652,4697.38556701031,-0.179698553908411,0.857464521451251,1,-4.6288070258179,"FARP1"
"FHL5",4.85826086956537,111.872164948454,0.179681304568223,0.857478056578566,1,-4.62880723446326,"FHL5"
"NANOS2",-0.214782608695652,0.523711340206186,-0.179633396094581,0.857515649384228,1,-4.62880781385184,"NANOS2"
"EPPK1",58.3360869565233,1468.43092783505,0.179497845295034,0.857622015097816,1,-4.62880945231972,"EPPK1"
"AP4E1",-13.5682608695648,720.628865979381,-0.179444273464134,0.857664053233842,1,-4.6288100995273,"AP4E1"
"SATL1",0.0926086956521738,0.472164948453608,0.179394597469624,0.857703034645591,1,-4.62881069949633,"SATL1"
"COA4",60.3021739130459,2584.80618556701,0.179329199370965,0.857754353931741,1,-4.62881148909803,"COA4"
"ZNF688",-13.2908695652177,619.925773195876,-0.17927121318158,0.857799857438652,1,-4.62881218896937,"ZNF688"
"DAZAP2",291.692608695672,15546.5030927835,0.179079547608446,0.857950266550458,1,-4.62881450068997,"DAZAP2"
"HSH2D",27.968695652175,1206.63298969072,0.179036732529395,0.857983866290993,1,-4.62881501675425,"HSH2D"
"SYCE2",1.79434782608697,44.3381443298969,0.178891168447299,0.858098101698834,1,-4.62881677036342,"SYCE2"
"DPRX",-0.250869565217391,0.597938144329897,-0.178749408589242,0.858209354502357,1,-4.62881847677261,"DPRX"
"ANO2",-1.46173913043484,37.3463917525773,-0.178743584726137,0.858213925116862,1,-4.62881854684741,"ANO2"
"ZNF839",-11.0956521739129,504.723711340206,-0.178741305223163,0.858215714090388,1,-4.62881857427455,"ZNF839"
"C2orf49",-21.5021739130425,1120.59381443299,-0.178730575216764,0.858224135101444,1,-4.62881870337418,"C2orf49"
"UBE2G1",43.6986956521737,2325.59381443299,0.178548732261001,0.858366849642462,1,-4.62882089006601,"UBE2G1"
"GPBAR1",1.94869565217401,52.9917525773196,0.178512381805555,0.858395378874326,1,-4.62882132691943,"GPBAR1"
"SAMD10",-20.8504347826075,722.855670103093,-0.178475359747036,0.858424435396715,1,-4.62882177175262,"SAMD10"
"DTX3L",-144.628260869559,6441.77319587629,-0.178474467732724,0.858425135490732,1,-4.62882178246934,"DTX3L"
"UIMC1",-20.2165217391289,1070.21443298969,-0.178453427514841,0.858441648857575,1,-4.62882203523267,"UIMC1"
"PPP1R2C",-0.0860869565217391,0.321649484536082,-0.178447829735151,0.858446042272614,1,-4.6288221024757,"PPP1R2C"
"C1orf68",-0.0869565217391304,0.0824742268041237,-0.178359150730945,0.858515642538371,1,-4.62882316744607,"C1orf68"
"CCL2",-99.3830434782594,2408.14020618557,-0.178319071045762,0.858547099689519,1,-4.62882364860032,"CCL2"
